,60/40,BTC,ETH,HFs,PE,RealEstate,Macro,SG CTA,Commodities,Gold
2015-02-27,271.432644888255,254.87,25.038344408831474,1239.41,32.173126220703125,18.862977981567298,1020.893,2334.572,20.64118576049801,116.16000366210938
2015-03-02,271.65934942253773,272.88,26.80764084545821,1241.76,32.28387451171875,18.923147201538,1020.893,2340.491,20.420917510986296,115.68000030517578
2015-03-03,270.7534006171518,283.36,27.837192575377596,1240.87,32.173126220703125,18.93993949890128,1020.893,2323.838,20.49617958068844,115.47000122070312
2015-03-04,270.1436539961918,273.1,26.82925357261301,1240.42,31.95163917541504,18.772022247314368,1020.893,2322.509,20.335630416870085,115.11000061035156
2015-03-05,270.3823476170233,279.93,27.500230511100547,1239.85,32.11775207519531,18.777622222900305,1020.893,2334.3,20.28545570373532,115.0
2015-03-06,266.9908081240968,273.25,26.843989522945822,1238.49,31.84088134765625,18.20528984069816,1020.893,2335.318,19.979387283325163,111.86000061035156
2015-03-09,268.15045206801057,289.07,28.398141084713448,1237.36,31.75782012939453,18.212289810180582,1020.893,2333.821,19.793741226196257,111.97000122070312
2015-03-10,265.9820789812469,293.19,28.802888520521446,1232.92,31.28712272644043,18.121334075927653,1020.893,2339.105,19.45757865905759,111.41999816894531
2015-03-11,265.80096314307775,294.55,28.93649447020564,1236.6,31.25944709777832,18.103841781616126,1020.893,2357.338,19.54788780212399,110.75
2015-03-12,267.91768471821183,296.15,29.09367794042234,1240.29,31.480941772460938,18.34522247314445,1020.893,2367.33,19.452554702758757,110.72000122070312
2015-03-13,266.77199435372285,288.4,28.332320506560198,1238.72,31.3148193359375,18.33823013305656,1020.893,2377.109,19.061204910278292,110.87999725341797
2015-03-16,269.276546088631,290.13,28.502275133732002,1240.6,31.591684341430664,18.499149322509684,1020.893,2382.992,19.05116844177243,110.80999755859375
2015-03-17,269.0170546417446,287.46,28.23997521780788,1240.57,31.397884368896484,18.464166641235266,1020.893,2382.064,18.92572593688962,110.20999908447266
2015-03-18,272.1927276389869,263.42,25.87829357780197,1244.16,32.00701141357422,18.74404144287101,1020.893,2386.175,19.456571578979464,112.37000274658203
2015-03-19,270.93540727159785,256.95,25.242682920113186,1244.55,31.591684341430664,18.855979919433505,1020.893,2394.997,19.15151596069333,112.29000091552734
2015-03-20,272.8118772184895,263.17,25.85373366058061,1245.67,32.09037780761719,19.24079322814932,1020.893,2387.615,19.467607498168913,113.56999969482422
2015-03-23,272.63337274426027,266.4,26.171047791080568,1244.98,32.34394073486328,19.317762374877837,1020.893,2372.446,19.517786026000945,114.29000091552734
2015-03-24,272.0461555857149,247.76,24.33986036305601,1244.4,32.17489242553711,19.226104736328033,1020.893,2377.987,19.417432785034148,114.56999969482422
2015-03-25,269.18994981271334,244.13,23.983250365001872,1240.47,31.977670669555664,18.964616775512606,1020.893,2363.973,19.470670700073214,114.7300033569336
2015-03-26,268.1948661517375,248.76,24.43810003194145,1238.78,31.752281188964844,18.832818984985263,1020.893,2344.501,19.67657470703122,115.4800033569336
2015-03-27,268.983243551993,248.55,24.417469701475508,1240.72,31.836803436279297,18.880741119384677,1020.893,2354.507,19.279827117919893,115.05999755859375
2015-03-30,270.92825291425953,247.52,24.316282842523506,1245.01,31.977670669555664,19.009016036987212,1020.893,2374.436,19.475694656372042,113.75
2015-03-31,269.7813333447738,244.14,23.984232761690727,1243.54,31.836803436279297,18.85607337951651,1041.061,2374.325,19.214540481567354,113.66000366210938
2015-04-01,269.7225244564427,245.82,24.149275405418262,1242.81,32.09037780761719,18.82576560974112,1041.061,2370.206,19.591199874877898,115.5999984741211
2015-04-02,269.99361803891,252.07,24.763273335952245,1244.25,32.34394073486328,18.987174987792873,1041.061,2366.301,19.435514450073214,115.27999877929688
2015-04-03,269.99361803891,254.51,25.002978128032712,1244.25,32.34394073486328,18.987174987792873,1041.061,2368.899,19.435514450073214,115.27999877929688
2015-04-06,271.2232425946011,254.58,25.0098549048547,1246.04,32.54115295410156,19.094301223754783,1041.061,2363.065,19.82724189758298,116.69000244140625
2015-04-07,270.8817292256497,254.94,25.045221185653457,1249.03,32.48481369018555,18.90329742431631,1041.061,2372.62,19.852350234985327,116.11000061035156
2015-04-08,271.33091234838463,246.11,24.177764909395044,1252.22,32.76655960083008,18.97377967834463,1041.061,2384.723,19.56608963012693,115.47000122070312
2015-04-09,271.613508705652,242.91,23.863397968961642,1254.65,32.90742492675781,18.734138488769435,1041.061,2398.021,19.621335983276342,114.66999816894531
2015-04-10,272.4775826677796,234.99,23.08533979138898,1256.29,32.90742492675781,18.818719863891502,1041.061,2402.795,19.731815338134744,115.97000122070312
2015-04-13,271.95202903824014,225.16,22.119643846245122,1257.71,33.07646942138672,18.62841606140127,1041.061,2404.653,19.702690124511697,115.13999938964844
2015-04-14,272.5848023804662,218.31,21.446702114379875,1256.3,33.07646942138672,18.71299171447744,1041.061,2400.804,19.842306137084936,114.44000244140625
2015-04-15,273.381721022629,220.23,21.635322278639915,1259.18,33.2736930847168,18.621370315551662,1041.061,2395.575,20.329448699951147,115.43000030517578
2015-04-16,273.41448214958234,228.99,22.495901778076348,1258.1,33.47091293334961,18.69890022277822,1041.061,2381.076,20.46504783630369,115.02999877929688
2015-04-17,271.7361882409644,223.31,21.937900458807064,1252.54,33.104644775390625,18.543836593627834,1041.061,2360.47,20.381175994873026,115.5999984741211
2015-04-20,273.0267004079703,224.35,22.040069714447917,1253.06,33.13280487060547,18.61432075500479,1041.061,2361.372,20.33949279785154,114.72000122070312
2015-04-21,272.60130046211736,233.03,22.89279004037352,1253.62,33.33003616333008,18.621370315551665,1041.061,2369.902,20.193853378295877,115.37999725341797
2015-04-22,272.78069696847876,233.67,22.9556634284602,1253.32,33.44272994995117,18.621370315551665,1041.061,2364.283,20.208919525146463,113.83000183105469
2015-04-23,273.52541642261707,234.7,23.0568502874122,1253.77,33.47091293334961,18.68903350830069,1041.061,2356.367,20.439937591552713,114.66000366210938
2015-04-24,274.2886442463964,231.41,22.733641776779113,1254.25,33.527252197265625,18.76937675476065,1041.061,2364.761,20.482624053955057,113.05000305175781
2015-04-27,273.4289623178294,223.73,21.97916111973895,1254.43,33.66812515258789,18.762334823608306,1041.061,2373.982,20.38519477844236,115.33000183105469
2015-04-28,273.4557726505497,224.41,22.04596409458105,1251.53,33.78083419799805,18.762334823608306,1041.061,2359.272,20.439937591552717,116.33000183105469
2015-04-29,272.37467821346905,226.48,22.249320209173906,1249.24,33.7244758605957,18.52762985229483,1041.061,2320.887,20.600641250610334,115.51000213623047
2015-04-30,270.69013566031407,236.58,23.241540864916825,1246.2,33.55542755126953,18.205526351928622,1042.522,2299.067,20.771390914916974,113.47000122070312
