Date,Daily ROR,Index Value
07/19/2021,-0.57%,1418.72
07/16/2021,-0.13%,1426.85
07/15/2021,-0.16%,1428.69
07/14/2021,-0.06%,1431.02
07/13/2021,-0.02%,1431.92
07/12/2021,0.02%,1432.26
07/09/2021,0.27%,1431.94
07/08/2021,-0.36%,1428.1
07/07/2021,-0.02%,1433.32
07/06/2021,-0.13%,1433.68
07/05/2021,0.02%,1435.6
07/02/2021,0.11%,1435.28
07/01/2021,0.12%,1433.74
06/30/2021,-0.04%,1431.95
06/29/2021,-0.04%,1432.53
06/28/2021,-0.02%,1433.05
06/25/2021,0.12%,1433.4
06/24/2021,0.17%,1431.66
06/23/2021,0.17%,1429.28
06/22/2021,0.08%,1426.9
06/21/2021,0.05%,1425.71
06/18/2021,-0.27%,1425.05
06/17/2021,-0.13%,1428.84
06/16/2021,-0.14%,1430.65
06/15/2021,-0.14%,1432.71
06/14/2021,0.01%,1434.68
06/11/2021,0.06%,1434.56
06/10/2021,0.07%,1433.7
06/09/2021,0.02%,1432.69
06/08/2021,0.06%,1432.39
06/07/2021,0.08%,1431.49
06/04/2021,0.15%,1430.28
06/03/2021,-0.09%,1428.19
06/02/2021,0.05%,1429.52
06/01/2021,0.16%,1428.75
05/31/2021,0.00%,1426.53
05/28/2021,0.12%,1426.52
05/27/2021,0.17%,1424.78
05/26/2021,0.13%,1422.36
05/25/2021,0.21%,1420.59
05/24/2021,0.03%,1417.66
05/21/2021,0.02%,1417.18
05/20/2021,0.29%,1416.89
05/19/2021,-0.19%,1412.76
05/18/2021,0.11%,1415.4
05/17/2021,0.04%,1413.88
05/14/2021,0.20%,1413.31
05/13/2021,-0.20%,1410.47
05/12/2021,-0.12%,1413.32
05/11/2021,-0.22%,1415.05
05/10/2021,-0.17%,1418.15
05/07/2021,0.25%,1420.5
05/06/2021,-0.03%,1417.01
05/05/2021,0.01%,1417.47
05/04/2021,-0.18%,1417.29
05/03/2021,-0.09%,1419.83
04/30/2021,-0.13%,1421.11
04/29/2021,0.05%,1422.91
04/28/2021,0.16%,1422.16
04/27/2021,0.04%,1419.9
04/26/2021,0.22%,1419.26
04/23/2021,0.28%,1416.15
04/22/2021,0.06%,1412.14
04/21/2021,0.15%,1411.26
04/20/2021,-0.34%,1409.15
04/19/2021,-0.08%,1413.91
04/16/2021,0.12%,1415.11
04/15/2021,0.07%,1413.38
04/14/2021,0.08%,1412.42
04/13/2021,0.02%,1411.25
04/12/2021,-0.08%,1411.02
04/09/2021,0.07%,1412.16
04/08/2021,0.15%,1411.23
