,60/40,BTC,ETH,HFs,PE,RealEstate,SG Macro,SG CTA,Commodities,Gold
2006-11-15,148.98592936526148,,,1248.45,9.823322296142578,14.194249515753127,268.09211,1559.482239,39.46216204710881,61.84000015258789
2006-11-16,149.07350849995584,,,1250.07,9.853525161743164,14.264429785564134,268.09211,1564.69091,38.42167432349897,61.310001373291016
2006-11-17,149.30885557588968,,,1249.36,9.849746704101562,14.246886921830535,268.09211,1559.746486,38.66031826339647,61.779998779296875
2006-11-20,149.39577567290067,,,1249.76,9.823322296142578,14.697806898041167,268.09211,1562.61642,38.736686072044094,61.77000045776367
2006-11-21,149.5706041254139,,,1251.67,9.853525161743164,14.948705990425736,268.09211,1563.975896,39.35715813092709,62.27000045776367
2006-11-22,149.84338917076064,,,1254.26,9.887502670288086,14.990814656019571,268.09211,1567.338446,38.803506083901986,62.5
2006-11-23,149.84338917076064,,,1254.26,9.887502670288086,14.990814656019571,268.09211,1567.056325,38.803506083901986,62.5
2006-11-24,149.5354996645794,,,1254.87,9.876178741455078,15.062749086277128,268.09211,1569.297216,39.50989010680479,63.5
2006-11-27,148.33630469943586,,,1249.37,9.691186904907227,14.653941553464598,268.09211,1561.027019,39.55761816650078,63.70000076293945
2006-11-28,148.8311591185866,,,1248.04,9.71384048461914,14.694299836416151,268.09211,1564.617382,39.853537962884005,63.56999969482422
2006-11-29,149.70434706906238,,,1253.01,9.823322296142578,14.9136139666181,268.09211,1571.517344,40.64583759122415,63.15999984741211
2006-11-30,150.0504175615589,,,1255.95,9.879951477050781,15.08028943147455,272.49709,1583.429446,41.094485722067546,64.38999938964844
2006-12-01,149.98469136480972,,,1256.94,9.819548606872559,15.045204963275443,272.49709,1589.525649,41.14221378176353,64.12000274658203
2006-12-04,150.67356266164364,,,1259.68,9.955459594726562,15.238205427511037,272.49709,1594.024007,40.159001914639404,64.12000274658203
2006-12-05,150.99316537414865,,,1262.3,10.027188301086426,15.127671911820832,272.49709,1593.290755,40.37855390237501,63.810001373291016
2006-12-06,150.8240890397238,,,1263.98,10.00454044342041,15.111875652925256,272.49709,1585.850088,39.90126602257999,62.689998626708984
2006-12-07,150.3998547734294,,,1264.59,10.012088775634766,14.948705990425733,272.49709,1587.435938,39.74853404670229,62.72999954223633
2006-12-08,150.30271645962495,,,1263.47,9.996986389160156,14.955717595139587,272.49709,1577.10173,39.471706202480966,62.04999923706055
2006-12-11,150.75153813534877,,,1265.72,10.012088775634766,15.036431642506512,272.49709,1589.1981,39.280793963697,62.56999969482422
2006-12-12,150.78506692434482,,,1263.82,10.023414611816406,14.968005533142058,272.49709,1597.93869,39.03260222700976,62.52000045776367
2006-12-13,150.58141606428052,,,1264.71,9.985664367675781,14.88554488093711,272.49709,1594.103637,39.06123833454385,62.47999954223633
2006-12-14,151.3032146874329,,,1268.87,10.027188301086426,14.913613966618101,272.49709,1595.681799,39.71035014237847,62.119998931884766
2006-12-15,151.32571719348294,,,1269.07,9.956932067871094,14.82588957380541,272.49709,1587.894872,39.758081843492015,61.0
2006-12-18,151.09869595619165,,,1267.32,9.915382385253906,14.782022969960758,272.49709,1587.021528,38.97533001194159,61.040000915527344
2006-12-19,151.26125545810612,,,1267.04,9.934269905090332,14.66798113337745,272.49709,1593.639408,39.26170201153509,61.79999923706055
2006-12-20,151.19493593295684,,,1268.57,10.00981330871582,14.789924877212806,272.49709,1599.631492,39.37625008308898,61.619998931884766
2006-12-21,151.06507463110782,,,1267.49,9.96826171875,14.64771321350147,272.49709,1602.430848,39.042150023799486,61.380001068115234
2006-12-22,150.22995031195643,,,1266.5,9.94182300567627,14.533948415897518,272.49709,1599.706715,38.83214219143607,61.650001525878906
2006-12-25,150.22995031195643,,,1266.5,9.94182300567627,14.533948415897518,272.49709,1599.722712,38.83214219143607,61.650001525878906
2006-12-26,150.814715867029,,,1267.96,10.017367362976074,14.67970869708077,272.49709,1605.465717,37.992114503399925,61.97999954223633
2006-12-27,151.26763279200264,,,1272.56,10.092915534973145,14.807703224078853,272.49709,1616.431048,37.84893032431195,62.220001220703125
2006-12-28,150.9379228099752,,,1273.47,10.08158016204834,14.85214531343971,272.49709,1622.961429,37.99211450339993,62.900001525878906
2006-12-29,150.52405637713036,,,1275.78,10.024924278259277,14.816587360439524,272.49709,1624.957671,38.24985039545934,63.209999084472656
2007-01-01,150.52405637713036,,,1275.78,10.024924278259277,14.816587360439524,272.49709,1625.021045,38.24985039545934,63.209999084472656
2007-01-02,150.52405637713036,,,1278.36,10.024924278259277,14.816587360439524,272.49709,1638.328343,38.24985039545934,63.209999084472656
2007-01-03,150.50791747020878,,,1277.61,10.119354248046875,14.909025193705508,272.49709,1634.217777,36.65571062482441,62.279998779296875
2007-01-04,150.91799455296967,,,1276.56,10.108022689819336,14.905475316965502,272.49709,1624.721337,35.46249092533686,61.650001525878906
2007-01-05,149.99942851352972,,,1271.75,9.94182300567627,14.674381993068627,272.49709,1604.069505,35.777499032464455,60.16999816894531
2007-01-08,150.45843881496702,,,1271.34,9.964487075805664,14.670818264379653,272.49709,1605.141023,35.70113486523437,60.47999954223633
2007-01-09,150.36726592064232,,,1272.05,9.998483657836914,14.843249843666245,272.49709,1613.540726,35.529310937194765,60.849998474121094
2007-01-10,150.5655567701348,,,1273.05,9.972039222717285,15.079683723524228,272.49709,1610.599241,34.947019141218036,60.59000015258789
2007-01-11,150.8014279782734,,,1279.15,10.017367362976074,15.252106487934205,272.49709,1634.690585,34.67019129699672,60.630001068115234
2007-01-12,151.3676047353351,,,1283.46,10.066473007202148,15.305430195119559,272.49709,1643.061835,35.20475503327746,62.16999816894531
2007-01-15,151.3676047353351,,,1283.46,10.066473007202148,15.305430195119559,272.49709,1646.494191,35.20475503327746,62.16999816894531
2007-01-16,151.30524078939263,,,1285.88,10.017367362976074,15.481424243827034,272.49709,1650.689459,34.50791516574683,61.970001220703125
2007-01-17,151.22701761091278,,,1287.0,9.987152099609375,15.527638123387673,272.49709,1652.338497,34.67019129699672,62.63999938964844
2007-01-18,151.00048515339236,,,1285.83,9.945601463317871,15.474316934738495,272.49709,1661.444535,34.2597234290596,62.2599983215332
2007-01-19,151.0847337612413,,,1288.22,9.994707107543945,15.611191820292985,272.49709,1659.542181,35.13793502141955,63.0
2007-01-22,150.91281422200802,,,1287.65,9.90404987335205,15.563197335655945,272.49709,1661.346103,35.20475503327745,62.720001220703125
2007-01-23,151.00639856135575,,,1290.11,9.930495262145996,15.607636906480629,272.49709,1662.474157,36.03523492452387,64.2300033569336
2007-01-24,151.7483595354292,,,1293.52,10.074028015136719,15.820951883511455,272.49709,1652.374627,36.22615080472539,64.33000183105469
2007-01-25,150.435599223314,,,1291.12,9.96826171875,15.915167803317665,272.49709,1651.959881,35.74886292493037,64.05999755859375
2007-01-26,150.3453276454506,,,1290.54,9.972039222717285,15.96316480649088,272.49709,1649.100338,36.1116027331715,64.16999816894531
2007-01-29,150.2504870891092,,,1291.48,10.036251068115234,16.00938498239196,272.49709,1658.475473,35.290666997297265,63.77000045776367
2007-01-30,150.78146056468069,,,1292.96,10.047587394714355,16.06449181318989,272.49709,1651.322469,36.67479893556879,64.22000122070312
2007-01-31,151.61335952253822,,,1294.9,10.08536148071289,16.2475830968412,278.50315,1643.465476,37.27618268370742,64.83000183105469
2007-02-01,152.11959977335258,,,1299.99,10.198676109313965,16.238697701212438,278.50315,1648.819887,36.83707870823621,65.22000122070312
2007-02-02,152.2985599689797,,,1302.33,10.274226188659668,16.35423680755235,278.50315,1651.563523,37.314366588031234,64.27999877929688
2007-02-05,152.38991127418063,,,1302.72,10.247780799865723,16.34357836245572,278.50315,1643.429573,37.50528246823275,64.30999755859375
2007-02-06,152.58361031573511,,,1305.03,10.259115219116211,16.567556821655533,278.50315,1644.473151,37.247546576173335,64.79000091552734
2007-02-07,152.91958901989378,,,1305.43,10.311996459960938,16.8110929735297,278.50315,1649.367103,36.98981068411393,64.62999725341797
2007-02-08,152.81284766449588,,,1304.22,10.330881118774414,16.683109779944406,278.50315,1646.785843,37.829838372150064,65.5199966430664
2007-02-09,151.94012532861694,,,1303.3,10.183568954467773,16.446683455694952,278.50315,1651.164647,37.90620253938015,66.12000274658203
2007-02-12,151.54666959013835,,,1302.39,10.153349876403809,16.171146783169128,278.50315,1653.342533,36.70343868452043,65.66999816894531
2007-02-13,152.27584671439726,,,1305.43,10.259115219116211,16.459121246599892,278.50315,1653.884829,37.51482662360494,65.83999633789062
2007-02-14,153.22636526106604,,,1308.6,10.395099639892578,16.357799276973232,278.50315,1661.69282,36.961174576579836,66.37000274658203
2007-02-15,153.44272297533726,,,1309.98,10.387543678283691,16.492894816719417,278.50315,1650.783806,37.18072656431544,66.41000366210938
2007-02-16,153.4637914926148,,,1310.28,10.436647415161133,16.43601745498979,278.50315,1650.739235,37.63892249194855,66.36000061035156
2007-02-19,153.4637914926148,,,1310.28,10.436647415161133,16.43601745498979,278.50315,1653.109697,37.63892249194855,66.36000061035156
2007-02-20,153.73497632470608,,,1313.12,10.534855842590332,16.574669167816417,278.50315,1657.817753,37.41937050421295,65.30999755859375
2007-02-21,153.6892905113605,,,1314.31,10.53108024597168,16.487559297830657,278.50315,1660.886374,38.03984256309595,67.3499984741211
2007-02-22,153.46557231320898,,,1315.46,10.561297416687012,16.404018193606227,278.50315,1666.402178,38.32621820410699,67.1500015258789
2007-02-23,153.34265107442394,,,1315.4,10.549965858459473,16.171146783169128,278.50315,1664.477483,38.7271382752544,67.72000122070312
2007-02-26,153.4496235982065,,,1315.22,10.485750198364258,16.066271158998198,278.50315,1664.705516,39.128061987819336,68.0999984741211
2007-02-27,150.338970511293,,,1297.21,10.092915534973145,15.545417729521807,278.50315,1627.852266,38.183030383601476,65.41000366210938
2007-02-28,151.0405172560697,,,1292.23,10.187345504760742,15.666294873286647,277.96626,1614.75945,38.66031826339649,66.4800033569336
2007-03-01,150.82720227874643,,,1287.97,10.157126426696777,15.5685328545447,277.96626,1595.017401,38.75577438278848,65.81999969482422
2007-03-02,149.849707393239,,,1282.33,10.017367362976074,15.24677222831353,277.96626,1580.27306,38.51713044289097,63.709999084472656
2007-03-05,149.04307724798056,,,1271.05,9.734067916870117,14.706376217379834,277.96626,1560.311051,37.753470563502454,62.93000030517578
2007-03-06,150.46369693945766,,,1278.42,9.92293643951416,15.21300369526636,277.96626,1569.268797,38.2593981922491,64.1500015258789
2007-03-07,150.48434890811956,,,1281.83,9.862499237060547,14.996130026618912,277.96626,1577.130833,38.784414131740114,64.30000305175781
2007-03-08,151.23087532489302,,,1286.48,9.926711082458496,15.236117561021166,277.96626,1581.527874,38.784414131740114,64.4800033569336
2007-03-09,150.91171758532877,,,1287.32,9.994707107543945,15.422761239948656,277.96626,1582.604894,38.097118419581676,64.25
2007-03-12,151.21451981291716,,,1288.86,10.04380989074707,15.500976899429038,277.96626,1588.474776,37.41937050421296,64.37000274658203
